Source,Target,weight
"inner_neuron1_1","inner_neuronnnnn0_1",2.0074
"inner_neuron1_1","output_function::move_straight",5.8115
"inner_neuron1_0","output_function::modify",4.4053
"input_functions::blocked_around","inner_neuronnnnn0_1",6.8279
"inner_neuron1_0","inner_neuronnnnn0_1",0.2857
"input_functions::length_letter","inner_neuronnnnn0_1",0.7957
"inner_neuron1_0","output_function::move_y",4.3688
"inner_neuron1_1","inner_neuronnnnn0_1",6.2226
"inner_neuron1_0","output_function::turn_left",2.8224
"inner_neuron1_1","inner_neuronnnnn0_1",0.0140
"input_functions::average_letter","output_function::move_random",0.2827
"inner_neuron1_0","output_function::move_x",7.5439
"inner_neuron1_1","output_function::send_comm",1.7927
"input_functions::always_true","inner_neuronnnnn0_0",1.5063
"inner_neuron1_0","output_function::turn_right",7.0138
"inner_neuron1_1","inner_neuronnnnn0_1",1.1440
